"","ID","Connective","ReactionTime1","ReactionTime2","ReactionTime3","TrialID","Label","Wordform","Answeraccuracy","Truthvalue","Sentenceform","Group","Order","OrderBinary","OrderTrials","LogReactionTime1"
"1","615d78e47da8bc9a0253dcbb","but",1273,1253,1103,"T1.34","test","CVV",1,"J","PositiveNegative","A","first","first",2,7.14913159855741
"2","615d78e47da8bc9a0253dcbb","but",1366,785,781,"T1.33","test","CVV",1,"J","PositiveNegative","A","first","first",6,7.21964204013074
"3","615d78e47da8bc9a0253dcbb","so",2737,2259,1247,"T1.66","test","VCC",1,"F","PositivePositive","A","first","first",9,7.91461770904068
"4","615d78e47da8bc9a0253dcbb","so",2043,1171,1548,"T1.71","test","CVV",1,"J","PositivePositive","A","first","first",10,7.62217459481762
"5","615d78e47da8bc9a0253dcbb","so",1319,1885,1386,"T1.64","test","VCV",1,"J","PositivePositive","A","first","first",15,7.18462915271731
"6","615d78e47da8bc9a0253dcbb","and",653,2210,2150,"T1.24","test","VCC",1,"J","PositiveNegative","A","first","first",17,6.48157712927643
"7","615d78e47da8bc9a0253dcbb","so",1930,746,1922,"T1.54","test","CVC",1,"F","PositiveNegative","A","first","first",18,7.56527528189893
"8","615d78e47da8bc9a0253dcbb","and",1197,867,962,"T1.22","test","CVV",1,"J","PositiveNegative","A","first","first",20,7.08757370555797
"9","615d78e47da8bc9a0253dcbb","and",1200,994,893,"T1.12","test","CVV",1,"F","PositivePositive","A","first","first",21,7.09007683577609
"10","615d78e47da8bc9a0253dcbb","so",578,1098,894,"T1.56","test","CVV",1,"F","PositivePositive","A","first","first",22,6.35957386867238
"11","615d78e47da8bc9a0253dcbb","but",794,1713,771,"T1.29","test","CVC",1,"F","PositiveNegative","A","first","first",23,6.67708346124714
"12","615d78e47da8bc9a0253dcbb","but",815,695,840,"T1.27","test","CVC",1,"J","PositivePositive","A","first","first",25,6.70318811324086
"13","615d78e47da8bc9a0253dcbb","so",1027,2185,1861,"T1.70","test","CVC",1,"J","PositivePositive","A","first","first",26,6.93439720992856
"14","615d78e47da8bc9a0253dcbb","so",838,714,1551,"T1.58","test","CVV",1,"J","PositiveNegative","A","first","first",29,6.73101810048208
"15","615d78e47da8bc9a0253dcbb","and",965,768,859,"T1.11","test","CVV",1,"F","PositivePositive","A","first","first",30,6.87212810133899
"16","615d78e47da8bc9a0253dcbb","and",1785,748,1122,"T1.4","test","CVC",1,"F","PositiveNegative","A","first","first",32,7.48717369421374
"17","615d78e47da8bc9a0253dcbb","and",816,1083,1043,"T1.17","test","VCC",1,"F","PositiveNegative","A","first","first",33,6.70441435496411
"18","615d78e47da8bc9a0253dcbb","but",590,750,1500,"T1.40","test","CVV",1,"F","PositivePositive","A","first","first",36,6.38012253689976
"19","615d78e47da8bc9a0253dcbb","but",556,606,1577,"T1.44","test","VCV",1,"F","PositiveNegative","A","first","first",37,6.32076829425058
